,names,stars,reviews,polarity,subjectivity,Pol_Analysis,stars_analysis
0,Nzan Vin Ngullie,5.0 out of 5 stars,Kindly note this is JBL flip 3 Se (Stealth Edition) and not the JBL 3.,0.6,0.9,Positive,Satisfied
1,AMIT SINGH CHAUHAN,5.0 out of 5 stars,Wow sound,0.25,0.7,Positive,Satisfied
2,Amazon Customer,5.0 out of 5 stars,Looks like an original product!,0.46875,0.75,Positive,Satisfied
3,vipendra khanal,1.0 out of 5 stars,Totally not satisfied with Amazon services - can't return even if says 10 days returnable,-0.25,1.0,Negative,Not_Satisfied
4,AMAZON_PRIME_MEMBER,1.0 out of 5 stars,Very disappointed with Amazon Service!,-1.0,0.9750000000000001,Negative,Not_Satisfied
5,Delton Dcunha,5.0 out of 5 stars,Absolutely 5star,0.2,0.9,Positive,Satisfied
6,Nikhil john,5.0 out of 5 stars,Product Is Gud.But.....,0.0,0.0,Nutral,Satisfied
7,ProfessorAb,4.0 out of 5 stars,Nice portable Bluetooth speaker without mic,0.6,1.0,Positive,Satisfied
8,Raj Bhardwaj,1.0 out of 5 stars,Totally fake trust.,-0.5,1.0,Negative,Not_Satisfied
9,vijay,5.0 out of 5 stars,Great sound with Good bass,0.4375,0.5625,Positive,Satisfied
10,Nitesh maurya,5.0 out of 5 stars,Good product in decent price,0.4333333333333333,0.6333333333333333,Positive,Satisfied
11,Nimesh Priyodit,5.0 out of 5 stars,Happy at first day,0.525,0.6666666666666666,Positive,Satisfied
12,Yogen,5.0 out of 5 stars,Best Genuine Product @ best deal price,0.7999999999999999,0.3666666666666667,Positive,Satisfied
13,anonymous_buyer,1.0 out of 5 stars,Cannot connect with iOS or Android apps to configure - garbage!,0.0,0.0,Nutral,Not_Satisfied
14,Dheeraj Kohli,2.0 out of 5 stars,JBL Connect Flip 3 SE,0.0,0.0,Nutral,Not_Satisfied
15,krishna teja,4.0 out of 5 stars,"Go ahead, if JBL connect is not a priority!! Forget the rest.",0.0,0.0,Nutral,Satisfied
16,harsh,4.0 out of 5 stars,Great for the most part.,0.65,0.625,Positive,Satisfied
17,rajeev singh,5.0 out of 5 stars,Very very good Bluetooth speaker,0.9099999999999999,0.7800000000000001,Positive,Satisfied
18,Niranjan  Singh Rathore,1.0 out of 5 stars,Need replacements for this as it has stopped working.,0.0,0.0,Nutral,Not_Satisfied
19,kunal,5.0 out of 5 stars,It's a best bluetooth speaker. go for it.,1.0,0.3,Positive,Satisfied
20,Pratik,1.0 out of 5 stars,No good,-0.35,0.6000000000000001,Negative,Not_Satisfied
21,Kz,1.0 out of 5 stars,Jbl is not Jbl anymore. Ever since Samsung purchased Harmon. Boycott JBL and force them to change!,0.0,0.0,Nutral,Not_Satisfied
22,Aviral singh,4.0 out of 5 stars,Good value for money product.,0.7,0.6000000000000001,Positive,Satisfied
23,KAUSHAL,1.0 out of 5 stars,Worst Service and Pathetic Products of @JBLINDIA,-1.0,1.0,Negative,Not_Satisfied
24,Mahendra Datey,1.0 out of 5 stars,Misleading Product 🙄😡😠,0.0,0.0,Nutral,Not_Satisfied
25,KHURSHEED KHAN,5.0 out of 5 stars,A Mini Powerhouse!,0.0,0.0,Nutral,Satisfied
26,Chaitanya Chai,4.0 out of 5 stars,JBL IS THE BOSS,0.0,0.0,Nutral,Satisfied
27,Amiyo,5.0 out of 5 stars,Fantastic 🔥,0.4,0.9,Positive,Satisfied
28,kamran Parker,5.0 out of 5 stars,Jhgg,0.0,0.0,Nutral,Satisfied
29,Banti Das,5.0 out of 5 stars,Solid Sound & Build Quality,0.2,0.25,Positive,Satisfied
30,Niranjan,4.0 out of 5 stars,Very good buy for the price,0.9099999999999999,0.7800000000000001,Positive,Satisfied
31,Sushil,5.0 out of 5 stars,Jbl is better than other brands,0.1875,0.4375,Positive,Satisfied
32,nandhakumar m,1.0 out of 5 stars,Wrost product JBL Flip3,0.0,0.0,Nutral,Not_Satisfied
33,pamruta,4.0 out of 5 stars,Good Sound Quality,0.55,0.5,Positive,Satisfied
34,Prabhakaran,4.0 out of 5 stars,This is not a pure (Flip3) it is a (Flip3 SE),-0.10714285714285714,0.5,Negative,Satisfied
35,sanjeev,4.0 out of 5 stars,Very nice purchase,0.78,1.0,Positive,Satisfied
36,VJ,5.0 out of 5 stars,Awesome BT speaker,1.0,1.0,Positive,Satisfied
37,Mainak,5.0 out of 5 stars,Awesome,1.0,1.0,Positive,Satisfied
38,Jay,5.0 out of 5 stars,This speaker is amazing.,0.6000000000000001,0.9,Positive,Satisfied
39,Abhaya Sharma,4.0 out of 5 stars,!!The Best Budget Bluetooth Speaker!!,1.0,0.3,Positive,Satisfied
40,Anup Audumbar Tabe,5.0 out of 5 stars,"Superb sound @ 4k , Value for money",0.7,0.7,Positive,Satisfied
41,Amazon Customer,1.0 out of 5 stars,Don't buy this. It's Flip 3 SE(Stealth Edition). Go for Flip 3.,0.0,0.0,Nutral,Not_Satisfied
42,Amazon Customer,5.0 out of 5 stars,Devil in a black robe,-0.16666666666666666,0.43333333333333335,Negative,Satisfied
43,Dharmalingam Pavadaisamy,3.0 out of 5 stars,Just a Bluetooth speaker,0.0,0.0,Nutral,Dont_Know
44,Kem,5.0 out of 5 stars,Good very good,0.8049999999999999,0.6900000000000002,Positive,Satisfied
45,Purnabhishek M.,4.0 out of 5 stars,A quintessential budget bluetooth speaker,0.0,0.0,Nutral,Satisfied
46,Lucky,1.0 out of 5 stars,Replace my speakers my be these are fake ones,-0.5,1.0,Negative,Not_Satisfied
47,Vishakh,5.0 out of 5 stars,Amazing little beast,0.20625000000000004,0.7,Positive,Satisfied
48,Anshit Mandloi,5.0 out of 5 stars,Awesome buy at 4499,1.0,1.0,Positive,Satisfied
49,Nishad*tvm,5.0 out of 5 stars,Worth buying / Flip 3 stealth,0.3,0.1,Positive,Satisfied
50,Raman V.,5.0 out of 5 stars,Go for it since the price is half compared to new models,-0.015151515151515152,0.3106060606060606,Negative,Satisfied
51,Chintan Chauhan,5.0 out of 5 stars,Perfect music portability,1.0,1.0,Positive,Satisfied
52,MH,4.0 out of 5 stars,Decent bang for bucks...,0.16666666666666666,0.6666666666666666,Positive,Satisfied
53,Limin E.B,5.0 out of 5 stars,Overall Satisfied..,0.25,0.5,Positive,Satisfied
54,Kshitij Vengurlekar,5.0 out of 5 stars,This is a product worth every penny.,0.3,0.1,Positive,Satisfied
55,Ajay Bansal,1.0 out of 5 stars,Don't Buy this product!,0.0,0.0,Nutral,Not_Satisfied
56,Amazon Customer,5.0 out of 5 stars,JBL is best,1.0,0.3,Positive,Satisfied
57,Rahul,5.0 out of 5 stars,Legendary speaker,1.0,1.0,Positive,Satisfied
58,Prksh7,4.0 out of 5 stars,A Genuine Review,0.4,0.5,Positive,Satisfied
59,Sahil K.,1.0 out of 5 stars,Duplicate product,0.0,0.0,Nutral,Not_Satisfied
60,Hassan,5.0 out of 5 stars,Very nice build/sound quality,0.78,1.0,Positive,Satisfied
61,Saptadeep,5.0 out of 5 stars,Here the bass is perfect and measured but not over boosted. Decide accordingly!,0.425,0.75,Positive,Satisfied
62,Ram naresh yadav,5.0 out of 5 stars,Good quality product,0.7,0.6000000000000001,Positive,Satisfied
63,Madan Gunda,4.0 out of 5 stars,All is good except battery life.,0.7,0.6000000000000001,Positive,Satisfied
64,Ujjayan,5.0 out of 5 stars,Best BT speaker in this range,1.0,0.3,Positive,Satisfied
65,Jalim_Duniya,5.0 out of 5 stars,One of the best speaker out there || Go for it!,1.0,0.3,Positive,Satisfied
66,somen,5.0 out of 5 stars,Rich BASS,0.11249999999999999,0.625,Positive,Satisfied
67,Atul Kumar,5.0 out of 5 stars,Great speaker at great price,0.8,0.75,Positive,Satisfied
68,Pavan,1.0 out of 5 stars,Battery doesn't work ND connectivity issues,0.0,0.0,Nutral,Not_Satisfied
69,abhiram ashokan,3.0 out of 5 stars,Good as well as bad opinion,5.551115123125783e-17,0.6333333333333333,Positive,Dont_Know
70,Gopi Kapadia,4.0 out of 5 stars,One of the best speaker available at this price,0.7,0.35,Positive,Satisfied
71,Mr. Mus,4.0 out of 5 stars,One of the best in the price segment.,1.0,0.3,Positive,Satisfied
72,PC Sekhar,4.0 out of 5 stars,Amazon should elevate the JBL to thier own level of customer service.,0.6,1.0,Positive,Satisfied
73,Priyankar,5.0 out of 5 stars,JBL FLIP 3 - EXAGGERATINGLY AWESOME,1.0,1.0,Positive,Satisfied
74,Sanjay Nayak,5.0 out of 5 stars,Good product in price range of 5k,0.7,0.6000000000000001,Positive,Satisfied
75,Simran,4.0 out of 5 stars,Reviewing after 4 months,0.0,0.0,Nutral,Satisfied
76,Nihar R.,3.0 out of 5 stars,Good but not great.,0.14999999999999997,0.675,Positive,Dont_Know
77,Udit Kaushal,4.0 out of 5 stars,"Loud, Crisp, Good bass and insanely portable.",-0.02000000000000004,0.6633333333333333,Negative,Satisfied
78,bhavendra daharwal,5.0 out of 5 stars,"Go for it,it's perfect.",1.0,1.0,Positive,Satisfied
79,Neha,4.0 out of 5 stars,Amazing device  but can be improved . Suggested to travelers and all customer .,0.6000000000000001,0.9,Positive,Satisfied
80,R,3.0 out of 5 stars,confusing description.,-0.3,0.4,Negative,Dont_Know
81,Arindam Das,5.0 out of 5 stars,Its a aweaome choice,0.0,0.0,Nutral,Satisfied
82,Aditya G1999,4.0 out of 5 stars,Just another Awesome product from JBL❤️😍,1.0,1.0,Positive,Satisfied
83,Harjot,5.0 out of 5 stars,Amazingly good...,0.7,0.6000000000000001,Positive,Satisfied
84,Rahul Chakraborty,5.0 out of 5 stars,Small Beast,-0.25,0.4,Negative,Satisfied
85,Rinish Ramakrishnan,5.0 out of 5 stars,Soundblaster!!!,0.0,0.0,Nutral,Satisfied
86,Kailash Chand Dhyani,4.0 out of 5 stars,Value for money thos one and signature sound,0.4,0.4,Positive,Satisfied
87,kuldeepsingh,4.0 out of 5 stars,Good sound quality but very less base not recommended for base lover,-0.14333333333333334,0.6173333333333334,Negative,Satisfied
88,Amazon Customer,5.0 out of 5 stars,Brillliant SOUND QUALITY,0.4,0.4,Positive,Satisfied
89,Alagappan AL,5.0 out of 5 stars,Mesmerising sound performance,0.4,0.4,Positive,Satisfied
90,Asad Abidi,5.0 out of 5 stars,Worth every penny!,0.375,0.1,Positive,Satisfied
91,Amazon Customer,5.0 out of 5 stars,Very Good speaker,0.9099999999999999,0.7800000000000001,Positive,Satisfied
92,Gokul Balram,5.0 out of 5 stars,"Great speaker, not a great Bluetooth speaker.",0.2,0.75,Positive,Satisfied
93,Sede N.,5.0 out of 5 stars,Great product from JBL,0.8,0.75,Positive,Satisfied
94,Ram,1.0 out of 5 stars,Don't make a customer doubt JBLs sound,0.4,0.4,Positive,Not_Satisfied
95,Amitabha Das,5.0 out of 5 stars,A great speaker check the version before buy,0.8,0.75,Positive,Satisfied
96,Mickey,5.0 out of 5 stars,Value for money,0.0,0.0,Nutral,Satisfied
97,vivek Kumar,1.0 out of 5 stars,NOT COMPILED WITH DETAILS,0.0,0.0,Nutral,Not_Satisfied
98,MY Anil,5.0 out of 5 stars,Jillelamma jitta pilla pala pitta,0.0,0.0,Nutral,Satisfied
99,Harsha Butta,5.0 out of 5 stars,Fabulous masterpiece by jbl,0.4,1.0,Positive,Satisfied
100,Prince,5.0 out of 5 stars,Good Sound,0.55,0.5,Positive,Satisfied
101,Jayvrat,5.0 out of 5 stars,LOVED IT***,0.7,0.8,Positive,Satisfied
102,nitish sharma,5.0 out of 5 stars,Awesome,1.0,1.0,Positive,Satisfied
103,Akula Ramachandra Rao,5.0 out of 5 stars,A nice one.,0.6,1.0,Positive,Satisfied
104,Amazon Customer,5.0 out of 5 stars,Blindly go for it,-0.5,0.6666666666666666,Negative,Satisfied
105,SUBHADIP BHOWMICK,5.0 out of 5 stars,Worth every penny!!!,0.5859375,0.1,Positive,Satisfied
106,Nikhil Valani,5.0 out of 5 stars,Recommended seller and speaker,0.0,0.0,Nutral,Satisfied
107,Amazon  CHI,5.0 out of 5 stars,Superb sound,0.7,0.7,Positive,Satisfied
108,Debashis B.,5.0 out of 5 stars,Awesome sound quality and robust structure in this price range,0.7,0.7,Positive,Satisfied
109,Amit,5.0 out of 5 stars,Not returnable. Sound average.,0.125,0.4,Positive,Satisfied
110,Shavir afroz,5.0 out of 5 stars,This thing sounds more than it's size,0.5,0.5,Positive,Satisfied
111,Ashutosh Rout,4.0 out of 5 stars,Good but not so good means no more than expected.,0.26249999999999996,0.525,Positive,Satisfied
112,abhinav,2.0 out of 5 stars,NO WARRENTY CLAIM FOR LIQUID DAMAGE NOT A WATERPROOF SPEAKER,0.0,0.0,Nutral,Not_Satisfied
113,Akash Joshi,4.0 out of 5 stars,Nearly worth the money.,0.3,0.1,Positive,Satisfied
114,Jeetu Saha,4.0 out of 5 stars,Brilliant speaker.,0.9,1.0,Positive,Satisfied
115,Akash Machra,5.0 out of 5 stars,"Hands down, best speaker out there...",0.4222222222222222,0.29444444444444445,Positive,Satisfied
116,Deepesh,5.0 out of 5 stars,Just like JbL,0.0,0.0,Nutral,Satisfied
117,Priyanshu jain,5.0 out of 5 stars,JBL ROCKS🔥🔥🔥🔥,0.0,0.0,Nutral,Satisfied
118,Kaustav Datta,5.0 out of 5 stars,Excellent Bluetooth Speakers!,1.0,1.0,Positive,Satisfied
119,Pradeep,5.0 out of 5 stars,Worst battery and very much over priced,-0.37,0.63,Negative,Satisfied
120,manjari,4.0 out of 5 stars,excellent sound..but...,1.0,1.0,Positive,Satisfied
121,Nas,5.0 out of 5 stars,Value for money product,0.0,0.0,Nutral,Satisfied
122,Aswin Divakar,5.0 out of 5 stars,You can buy it without a doubt.,0.0,0.0,Nutral,Satisfied
123,Amazon Customer,5.0 out of 5 stars,Go for it.,0.0,0.0,Nutral,Satisfied
124,Akash chandan,5.0 out of 5 stars,"Go for it, don't even think twice!",0.0,0.0,Nutral,Satisfied
125,Tushar mohla,5.0 out of 5 stars,Just go for it.,0.0,0.0,Nutral,Satisfied
126,varun kumar,2.0 out of 5 stars,Satisfactory,0.0,0.0,Nutral,Not_Satisfied
127,Amazon Customer,5.0 out of 5 stars,"Best Sound output, battery backup, bass and clarity.",0.4166666666666667,0.39999999999999997,Positive,Satisfied
128,Biswas,5.0 out of 5 stars,Can go for it,0.0,0.0,Nutral,Satisfied
129,Albert Sabu,5.0 out of 5 stars,Oru kidilan Bluetooth speaker!,0.0,0.0,Nutral,Satisfied
130,Sam G.,5.0 out of 5 stars,Jbl speaker not compatible with pen drives,0.0,0.0,Nutral,Satisfied
131,Suri,5.0 out of 5 stars,"Amazing Sound, Supreme bass, Surprisingly Loud",0.2375,0.65,Positive,Satisfied
132,Mayur Patel,4.0 out of 5 stars,Awesome BT portable speaker..!!!!,1.0,1.0,Positive,Satisfied
133,prateek srivastava,5.0 out of 5 stars,Amazing crystal clear sound quality.,0.3666666666666667,0.561111111111111,Positive,Satisfied
134,suresh,1.0 out of 5 stars,Product not getting charged,0.0,0.0,Nutral,Not_Satisfied
135,soumen saha,5.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
136,Aditya Chatterjee,2.0 out of 5 stars,"Read the review, don't waste your money",-0.2,0.0,Negative,Not_Satisfied
137,Arjun Satheesh,5.0 out of 5 stars,JBL Flip 2 SE,0.0,0.0,Nutral,Satisfied
138,Ajay Rastogi,5.0 out of 5 stars,Worth Buying,0.3,0.1,Positive,Satisfied
139,Anuraag Paul,5.0 out of 5 stars,Value for Money!,0.0,0.0,Nutral,Satisfied
140,Sudesh P.,1.0 out of 5 stars,"PLease please do not buy any of JBL Harman products, with the difficulty is am facing.",0.0,0.0,Nutral,Not_Satisfied
141,SBJ,5.0 out of 5 stars,Pure Signature Sound,0.30714285714285716,0.45,Positive,Satisfied
142,Kannan,5.0 out of 5 stars,Very Good Sound and Bass,0.3866666666666667,0.56,Positive,Satisfied
143,Meghna251,5.0 out of 5 stars,"Good sound, decent battery life",0.4222222222222223,0.5555555555555555,Positive,Satisfied
144,RAJIV KRISHNAMURTHY,5.0 out of 5 stars,An improvement to Flip3,0.0,0.0,Nutral,Satisfied
145,Joseph F R,3.0 out of 5 stars,Only 3 stars because..,0.0,1.0,Nutral,Dont_Know
146,Salsen sajan,1.0 out of 5 stars,Not working,0.0,0.0,Nutral,Not_Satisfied
147,Siddharth Lenka,5.0 out of 5 stars,Go for it!,0.0,0.0,Nutral,Satisfied
148,Chetan Joshi,5.0 out of 5 stars,A beast,0.0,0.0,Nutral,Satisfied
149,karthik,3.0 out of 5 stars,No mic in this speaker,0.0,0.0,Nutral,Dont_Know
150,BASANTH KUMAR KODALI .,5.0 out of 5 stars,JBL FLIP 3  Super Product and very nice  goood,0.5566666666666666,0.8333333333333333,Positive,Satisfied
151,Hemanta D.,5.0 out of 5 stars,Perfect portable sound system for this price range.,0.7,0.7,Positive,Satisfied
152,Ayesha M.,1.0 out of 5 stars,Lousy sound and useless battery.,-0.19999999999999998,0.3666666666666667,Negative,Not_Satisfied
153,ARJUN SINGH,5.0 out of 5 stars,यह प्रोडक्ट बहुत बहुत अच्छा है,0.0,0.0,Nutral,Satisfied
154,Grace L.,4.0 out of 5 stars,The quality of sound it's just awesome,0.7,0.7,Positive,Satisfied
155,SOURAV MAITY,5.0 out of 5 stars,Just Go for It...,0.0,0.0,Nutral,Satisfied
156,rekha,5.0 out of 5 stars,Very happy with the product,1.0,1.0,Positive,Satisfied
157,UserAtNISER,5.0 out of 5 stars,"Very good sound quality Quality, battery backup is ~8 hours",0.655,0.5900000000000001,Positive,Satisfied
158,Deepthi,5.0 out of 5 stars,One of the best buy during the sale,1.0,0.3,Positive,Satisfied
159,Saranya,5.0 out of 5 stars,Go for it,0.0,0.0,Nutral,Satisfied
160,Uma Shankar Sharma,4.0 out of 5 stars,JBl 3 SE edition,0.0,0.0,Nutral,Satisfied
161,Santosh Kumar,4.0 out of 5 stars,Satisfied,0.5,1.0,Positive,Satisfied
162,anandu,5.0 out of 5 stars,Party anywhere,0.0,0.0,Nutral,Satisfied
163,Vinod Kumar Imandi,5.0 out of 5 stars,WORTHY PRODUCT,0.3333333333333333,1.0,Positive,Satisfied
164,Asif,5.0 out of 5 stars,Great stuff,0.8,0.75,Positive,Satisfied
165,Utsav Shah,5.0 out of 5 stars,I'm in love with my new speaker,0.3181818181818182,0.5272727272727272,Positive,Satisfied
166,Pari,5.0 out of 5 stars,The perfect music partner..,1.0,1.0,Positive,Satisfied
167,bhavyaRani Mandhapally,1.0 out of 5 stars,Heck of an experience & nightmare,0.0,0.0,Nutral,Not_Satisfied
168,Amit Kumar Sarkar,5.0 out of 5 stars,Love to have this.,0.5,0.6,Positive,Satisfied
169,Abhishek Kumar,3.0 out of 5 stars,"Ok, but not as good as expected",0.36666666666666664,0.5,Positive,Dont_Know
170,Sahil gupta,2.0 out of 5 stars,Speaker was good but..,0.7,0.6000000000000001,Positive,Not_Satisfied
171,Amazon Customer,5.0 out of 5 stars,Recommended. Powerpacked & Portable,0.0,0.0,Nutral,Satisfied
172,shalinee Kerketta,4.0 out of 5 stars,Jbl is best if its genuine,0.7,0.4,Positive,Satisfied
173,SANJOY BASU,5.0 out of 5 stars,Good Sound and Quality of bass is also good.,0.4125,0.525,Positive,Satisfied
174,Aditya Solanki,4.0 out of 5 stars,Excellent product and MoneyWorth,1.0,1.0,Positive,Satisfied
175,Ashish,5.0 out of 5 stars,A special gift for the listener,0.35714285714285715,0.5714285714285714,Positive,Satisfied
176,D&K,5.0 out of 5 stars,"Good speaker , value for money.",0.7,0.6000000000000001,Positive,Satisfied
177,Shobhan Chandvale,3.0 out of 5 stars,Sound quality good BUT not loud as expected,0.23750000000000002,0.55,Positive,Dont_Know
178,vaibhav,4.0 out of 5 stars,Genuine Feedback,0.4,0.5,Positive,Satisfied
179,Amazon Customer,5.0 out of 5 stars,Decent sound at a great price,0.45555555555555555,0.6055555555555555,Positive,Satisfied
180,Sahil parkar,3.0 out of 5 stars,Product return,0.0,0.0,Nutral,Dont_Know
181,Joseph,4.0 out of 5 stars,Vlue every penny ?🧐😟🥴,0.0,0.0,Nutral,Satisfied
182,Patialu,5.0 out of 5 stars,Don't think just buy it.,0.0,0.0,Nutral,Satisfied
183,Judy,5.0 out of 5 stars,Great product,0.8,0.75,Positive,Satisfied
184,mahe@rocks,4.0 out of 5 stars,jbl SE....stealth mode on,0.0,0.0,Nutral,Satisfied
185,Amazon Customer,3.0 out of 5 stars,Don't buy if you want bass.,-0.15000000000000002,0.5,Negative,Dont_Know
186,Ishan Soni,5.0 out of 5 stars,Serves the purpose of music and JBL is really setting up high benchmarka,0.18,0.37,Positive,Satisfied
187,Det@,5.0 out of 5 stars,Awesome speaker!,1.0,1.0,Positive,Satisfied
188,Arnab Chakraborty,4.0 out of 5 stars,Great buy. But be aware,0.525,0.5,Positive,Satisfied
189,Aayushmaan,5.0 out of 5 stars,It's a JBL JUST GO FOR IT,0.0,0.0,Nutral,Satisfied
190,Krishan Kumar Bhardwaj,5.0 out of 5 stars,An amazing product super duper product,0.4666666666666667,0.7833333333333333,Positive,Satisfied
191,Seb,5.0 out of 5 stars,Quality Product,0.0,0.0,Nutral,Satisfied
192,koochie pie,5.0 out of 5 stars,Amazing....,0.6000000000000001,0.9,Positive,Satisfied
193,Dr.Akshay pal,4.0 out of 5 stars,"Great design, good sound quality,great for single room✌️",0.45714285714285713,0.49107142857142855,Positive,Satisfied
194,Vishal sharma,5.0 out of 5 stars,This is a real quality product,0.2,0.30000000000000004,Positive,Satisfied
195,Rani B.,2.0 out of 5 stars,Connectivity problem,0.0,0.0,Nutral,Not_Satisfied
196,RICHARD S.,5.0 out of 5 stars,Great product!,1.0,0.75,Positive,Satisfied
197,Pramod,5.0 out of 5 stars,Worth purchasing it,0.3,0.1,Positive,Satisfied
198,Subodh V R,4.0 out of 5 stars,FLIP 3 - Value for money,0.0,0.0,Nutral,Satisfied
199,Trishna Kolipakam,5.0 out of 5 stars,Great product,0.8,0.75,Positive,Satisfied
200,Subbarao,5.0 out of 5 stars,Awesome wireless Bluetooth speaker.,1.0,1.0,Positive,Satisfied
201,Amazon Customer,5.0 out of 5 stars,Quality portability and connectivity all are good,0.7,0.6000000000000001,Positive,Satisfied
202,Sudiptam Chatterjee,5.0 out of 5 stars,It's all about a wow!!!,0.1953125,1.0,Positive,Satisfied
203,Reema,4.0 out of 5 stars,Good sound for party songs,0.55,0.5,Positive,Satisfied
204,BlackReaper,5.0 out of 5 stars,Best quality sound and very loud!,0.5208333333333334,0.5666666666666667,Positive,Satisfied
205,Subhadeep Samui,5.0 out of 5 stars,Oustanding product,0.0,0.0,Nutral,Satisfied
206,Ozair,4.0 out of 5 stars,Nice and crisp sound.,0.4166666666666667,0.6055555555555556,Positive,Satisfied
207,kuldeep varshney,5.0 out of 5 stars,Amazing sound,0.5,0.65,Positive,Satisfied
208,Utkarsh Khare,4.0 out of 5 stars,Not the standard flip 3,0.0,0.0,Nutral,Satisfied
209,Chhaniyara Daxaben Narendrabhai,4.0 out of 5 stars,Very good quality.,0.9099999999999999,0.7800000000000001,Positive,Satisfied
210,Harsh Sharma,5.0 out of 5 stars,Love it.,0.5,0.6,Positive,Satisfied
211,Ayush Sinha,2.0 out of 5 stars,Not an original product.,0.375,0.75,Positive,Not_Satisfied
212,Prathima Vankadaru,4.0 out of 5 stars,Range is bad,-0.6999999999999998,0.6666666666666666,Negative,Satisfied
213,Anand,5.0 out of 5 stars,This is bomb 😍,0.0,0.0,Nutral,Satisfied
214,Sagar Nemade,5.0 out of 5 stars,Good portable speaker in the market,0.7,0.6000000000000001,Positive,Satisfied
215,Sukrit jain,5.0 out of 5 stars,Amazing deal @3500,0.6000000000000001,0.9,Positive,Satisfied
216,Supriyo Sen,4.0 out of 5 stars,Great sound quality but having bluetooth connectivity issue,0.6000000000000001,0.575,Positive,Satisfied
217,Kathir,3.0 out of 5 stars,Battery issue,0.0,0.0,Nutral,Dont_Know
218,Shanmuga Priyan,5.0 out of 5 stars,Amazing Sound quality,0.5,0.65,Positive,Satisfied
219,Meghana,5.0 out of 5 stars,"Best buy, worth the money",0.65,0.2,Positive,Satisfied
220,Kanreddy,5.0 out of 5 stars,Amazing quality of sound,0.5,0.65,Positive,Satisfied
221,Anoop Suresh,5.0 out of 5 stars,Review after 6 months.,0.0,0.0,Nutral,Satisfied
222,Chelsi,1.0 out of 5 stars,Worst experience. Just review my point so that it will help you buying it,-1.0,1.0,Negative,Not_Satisfied
223,deepanshu,5.0 out of 5 stars,Excellent Waterproof Bluetooth Speaker : JBL,1.0,1.0,Positive,Satisfied
224,Amazon Customer,2.0 out of 5 stars,Stealth edition,0.0,0.0,Nutral,Not_Satisfied
225,Ashok Pandey,5.0 out of 5 stars,Crisp sound with Good Bass,0.30000000000000004,0.4791666666666667,Positive,Satisfied
226,Vinayak Dutta,4.0 out of 5 stars,Awesome sound quality and bass.,0.4166666666666667,0.6333333333333333,Positive,Satisfied
227,Ritwik,5.0 out of 5 stars,Worth the price.... it's awesome,0.65,0.55,Positive,Satisfied
228,Vinay,3.0 out of 5 stars,Great till 60% Vol,0.8,0.75,Positive,Dont_Know
229,Prem Deep,4.0 out of 5 stars,Volume is low,0.0,0.3,Nutral,Satisfied
230,Amazon Customer,4.0 out of 5 stars,Nice sound,0.5,0.7,Positive,Satisfied
231,Rahul Chinna A M,5.0 out of 5 stars,Jbl flip 3 SE,0.0,0.0,Nutral,Satisfied
232,abhishek,4.0 out of 5 stars,Worst seller on Amazon... But the product is awesome,0.0,1.0,Nutral,Satisfied
233,Uma Shankar Prasad,5.0 out of 5 stars,Unbelievable... Amazing....Must go for it,-0.25,1.0,Negative,Satisfied
234,HUSAN CHANDRA,5.0 out of 5 stars,Excellent,1.0,1.0,Positive,Satisfied
235,Amit Mehta,5.0 out of 5 stars,Just awesome.. Go for it,1.0,1.0,Positive,Satisfied
236,Raj,5.0 out of 5 stars,Chhota packet bada dhamaka,0.0,0.0,Nutral,Satisfied
237,Rithwik,5.0 out of 5 stars,"Premium, Value for money",0.0,0.0,Nutral,Satisfied
238,Umesh,5.0 out of 5 stars,Mini Sound Monster!,0.5,0.4,Positive,Satisfied
239,Jeevan,5.0 out of 5 stars,"Super, I loved it, it producing good sound",0.5333333333333333,0.6166666666666667,Positive,Satisfied
240,Lokesh Kumar,1.0 out of 5 stars,A poor quality  and fake item,-0.45,0.8,Negative,Not_Satisfied
241,Amazon Customer,5.0 out of 5 stars,Good product in good price range...,0.7,0.6000000000000001,Positive,Satisfied
242,sakthivel.m,4.0 out of 5 stars,Best wireless speaker with awesome quality,1.0,0.65,Positive,Satisfied
243,Aditi tripathy,4.0 out of 5 stars,4.9/5 overall,0.0,0.0,Nutral,Satisfied
244,rajeev kumar,5.0 out of 5 stars,Just wow...,0.1,1.0,Positive,Satisfied
245,Rakesh C.,2.0 out of 5 stars,Poor battery back up,-0.2,0.3,Negative,Not_Satisfied
246,Mukesh,1.0 out of 5 stars,Version diff,0.0,0.0,Nutral,Not_Satisfied
247,Rahil Sharma,1.0 out of 5 stars,Faulty Device Battery,0.0,0.0,Nutral,Not_Satisfied
248,Manish,5.0 out of 5 stars,Waterproof,0.0,0.0,Nutral,Satisfied
249,Bruno,5.0 out of 5 stars,Great sound,0.6000000000000001,0.575,Positive,Satisfied
250,Pankaj,4.0 out of 5 stars,Great product but the size received is not the size mentioned on the site,0.8,0.75,Positive,Satisfied
251,Anthony Derrick Raj,5.0 out of 5 stars,Awesome:) JBL The beast and king of Speakers,0.75,1.0,Positive,Satisfied
252,Prathamesh P.,4.0 out of 5 stars,Perfect for small room,0.375,0.7,Positive,Satisfied
253,Bhushan Nandane,4.0 out of 5 stars,Nice speaker...,0.6,1.0,Positive,Satisfied
