,names,stars,reviews,polarity,subjectivity,Pol_Analysis,stars_analysis
3779,BANOTHU SRINIVAS,5.0 out of 5 stars,Nice,0.6,1.0,Positive,Satisfied
3780,Samarth pandey,5.0 out of 5 stars,Worth it,0.3,0.1,Positive,Satisfied
3781,Subodh Kumar,1.0 out of 5 stars,Very nice,0.78,1.0,Positive,Not_Satisfied
3782,Narasimhamurthy d,5.0 out of 5 stars,Very good,0.9099999999999999,0.7800000000000001,Positive,Satisfied
3783,Aswin,5.0 out of 5 stars,Superb,1.0,1.0,Positive,Satisfied
3784,Amazon Customer,4.0 out of 5 stars,Keka,0.0,0.0,Nutral,Satisfied
3785,ANSHU K.,5.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3786,krishnakant Choudhary,5.0 out of 5 stars,Gazab ka product hai,0.0,0.0,Nutral,Satisfied
3787,Babai sharma,3.0 out of 5 stars,Yo,0.0,0.0,Nutral,Dont_Know
3788,sandip sahare,5.0 out of 5 stars,Aarush,0.0,0.0,Nutral,Satisfied
3789,chandra prakash singh,5.0 out of 5 stars,Great sound,0.6000000000000001,0.575,Positive,Satisfied
3790,Mano,4.0 out of 5 stars,"Good one,bt no facilities for pairing two speakers",0.7,0.6000000000000001,Positive,Satisfied
3791,sanketh g.,5.0 out of 5 stars,Jbl is the best,1.0,0.3,Positive,Satisfied
3792,R.R.SARKAR,4.0 out of 5 stars,Jbl,0.0,0.0,Nutral,Satisfied
3793,Amazon Customer,5.0 out of 5 stars,Easy,0.43333333333333335,0.8333333333333334,Positive,Satisfied
3794,Sony,4.0 out of 5 stars,Good product for prize,0.7,0.6000000000000001,Positive,Satisfied
3795,Rajinder  singh,5.0 out of 5 stars,Value for money,0.0,0.0,Nutral,Satisfied
3796,Vijay,5.0 out of 5 stars,I got it for 4500 sound quality is good,0.55,0.5,Positive,Satisfied
3797,Amazon Customer,3.0 out of 5 stars,Thik,0.0,0.0,Nutral,Dont_Know
3798,Prem sharma,5.0 out of 5 stars,good,0.7,0.6000000000000001,Positive,Satisfied
3799,SUBHOJIT SHYAMAL,5.0 out of 5 stars,Nice,0.6,1.0,Positive,Satisfied
3800,Himanshu Chuahan,5.0 out of 5 stars,Awesome product...,1.0,1.0,Positive,Satisfied
3801,Vivek,5.0 out of 5 stars,Amazing Sound,0.5,0.65,Positive,Satisfied
3802,abiarasu.a,5.0 out of 5 stars,Good Protect,0.7,0.6000000000000001,Positive,Satisfied
3803,Suhail,5.0 out of 5 stars,Pwoli,0.0,0.0,Nutral,Satisfied
3804,Ravi gurjar,4.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3805,Pradeep,4.0 out of 5 stars,Nice,0.6,1.0,Positive,Satisfied
3806,Sujay Saha,5.0 out of 5 stars,The product is very good,0.9099999999999999,0.7800000000000001,Positive,Satisfied
3807,"Honest, Dil Se - Seedhi Baat",5.0 out of 5 stars,Premium STEREO sound at an affordable price - Flip3 Stealth,0.4,0.4,Positive,Satisfied
3808,KK,5.0 out of 5 stars,Excellent Powerful Portable Speaker,0.65,1.0,Positive,Satisfied
3809,Sunilkvish,1.0 out of 5 stars,A third class product and JBL service center is full of robbers and goons,0.08333333333333333,0.21666666666666667,Positive,Not_Satisfied
3810,Anand Thukral,5.0 out of 5 stars,Bought this directly from JBL.com-So its an Original-Still testing it out,0.1,0.4,Positive,Satisfied
3811,Prasenjit Das,5.0 out of 5 stars,Amazing Sound Quality,0.5,0.65,Positive,Satisfied
3812,Amazon Customer,5.0 out of 5 stars,A gem of electronics,0.0,0.0,Nutral,Satisfied
3813,Vishnu Lawaniya,5.0 out of 5 stars,"Good sound quality, light weight, good connectivity, battery life good",0.5800000000000001,0.58,Positive,Satisfied
3814,Surajit Sarkar,2.0 out of 5 stars,Battery is damaged after 1 year,0.0,0.0,Nutral,Not_Satisfied
3815,Tarun Azad,4.0 out of 5 stars,Good sound quality,0.55,0.5,Positive,Satisfied
3816,Anirudh Nistala,5.0 out of 5 stars,Absolute Bang for the Buck!,0.25,0.9,Positive,Satisfied
3817,Ishaan Thaker,5.0 out of 5 stars,Compact speaker with good sound quality and Bass,0.3166666666666667,0.5,Positive,Satisfied
3818,Ravi Shanker,1.0 out of 5 stars,No service centre in Ahmedabad.,0.0,0.0,Nutral,Not_Satisfied
3819,sumit jain,1.0 out of 5 stars,Battery dies in 1.5 years then there is no support,0.0,0.0,Nutral,Not_Satisfied
3820,Kapil Kalra,4.0 out of 5 stars,JBL is JBL,0.0,0.0,Nutral,Satisfied
3821,Saiyam agrawal,5.0 out of 5 stars,Jbl flip 3 stealth edition,0.0,0.0,Nutral,Satisfied
3822,Aiman Anwar,5.0 out of 5 stars,Cons & Pros,0.0,0.0,Nutral,Satisfied
3823,satish kumar sharma,5.0 out of 5 stars,Love u..jbl flip 3 stealth.,0.5,0.6,Positive,Satisfied
3824,Archit,4.0 out of 5 stars,"Good product, good sound",0.6,0.5333333333333333,Positive,Satisfied
3825,Mr Tarani,5.0 out of 5 stars,You want value for money? Buy FLIP 3 Stealth.,0.0,0.0,Nutral,Satisfied
3826,Ramani .,5.0 out of 5 stars,Excellent product,1.0,1.0,Positive,Satisfied
3827,Rahul roy,1.0 out of 5 stars,Bakwas,0.0,0.0,Nutral,Not_Satisfied
3828,Saurabh M,5.0 out of 5 stars,Awesome!!!,1.0,1.0,Positive,Satisfied
3829,Amazon Customer,1.0 out of 5 stars,Duplicate JBL Speaker Received,0.0,0.0,Nutral,Not_Satisfied
3830,Om lomas,5.0 out of 5 stars,Nice,0.6,1.0,Positive,Satisfied
3831,Utkarsh V.,5.0 out of 5 stars,That's a deal,0.0,0.0,Nutral,Satisfied
3832,H Parmar,3.0 out of 5 stars,Good for small room. Not for a classroom.,0.22499999999999998,0.5,Positive,Dont_Know
3833,Ashish,5.0 out of 5 stars,Awesome,1.0,1.0,Positive,Satisfied
3834,Parth R.,5.0 out of 5 stars,Mind blowing,0.0,0.0,Nutral,Satisfied
3835,Kriti K,5.0 out of 5 stars,Great sound at resonable price,0.6000000000000001,0.575,Positive,Satisfied
3836,Yell Bee,5.0 out of 5 stars,BASS King... Little Monster,-0.16875,0.5,Negative,Satisfied
3837,Amazon Customer,2.0 out of 5 stars,Don't buy pathetic battery life,-1.0,1.0,Negative,Not_Satisfied
3838,Rayyan F.,5.0 out of 5 stars,The only problem with JBL,0.0,1.0,Nutral,Satisfied
3839,Mahip Parekh,5.0 out of 5 stars,YOU HAVE IT ALL,0.0,0.0,Nutral,Satisfied
3840,Joshin,2.0 out of 5 stars,A Below Average Product.,-0.15,0.39999999999999997,Negative,Not_Satisfied
3841,Vasantha,4.0 out of 5 stars,AT 3K...worthy product,0.0,0.0,Nutral,Satisfied
3842,Shawez,5.0 out of 5 stars,Value for money,0.0,0.0,Nutral,Satisfied
3843,Nikhil mahato,3.0 out of 5 stars,Battery quality is very bad.,-0.9099999999999998,0.8666666666666667,Negative,Dont_Know
3844,Rajendra kumar,5.0 out of 5 stars,Super base and sound quality for old songs,0.008333333333333325,0.5666666666666667,Positive,Satisfied
3845,udayjitbehera,5.0 out of 5 stars,Quality,0.0,0.0,Nutral,Satisfied
3846,Isha Singh,5.0 out of 5 stars,Quality,0.0,0.0,Nutral,Satisfied
3847,Bhavin shah not happy with the service.  Damage piece received,4.0 out of 5 stars,Good one,0.7,0.6000000000000001,Positive,Satisfied
3848,Santhosh Katkam,4.0 out of 5 stars,Jbl speaker is very good and sound quality super,0.5477777777777778,0.6155555555555555,Positive,Satisfied
3849,sayon chakraborty,5.0 out of 5 stars,Superb sound quality.....,0.7,0.7,Positive,Satisfied
3850,Koumudi Mandal,5.0 out of 5 stars,Awesome speakers,1.0,1.0,Positive,Satisfied
3851,shrimanti,5.0 out of 5 stars,Amazing product.,0.6000000000000001,0.9,Positive,Satisfied
3852,Hasan Ausaja,2.0 out of 5 stars,Shady,-0.25,0.625,Negative,Not_Satisfied
3853,kaushik7,5.0 out of 5 stars,Value for money! With smart features,0.21428571428571427,0.6428571428571429,Positive,Satisfied
3854,Gopika J,4.0 out of 5 stars,Wonderful product!,1.0,1.0,Positive,Satisfied
3855,Amazon Customer,5.0 out of 5 stars,Nice product,0.6,1.0,Positive,Satisfied
3856,Shashank,5.0 out of 5 stars,Must buy..!!,0.0,0.0,Nutral,Satisfied
3857,Amazon Customer,5.0 out of 5 stars,Super quality,0.3333333333333333,0.6666666666666666,Positive,Satisfied
3858,Roshan J.,4.0 out of 5 stars,Nice product,0.6,1.0,Positive,Satisfied
3859,Amazon Customer,5.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3860,baij,5.0 out of 5 stars,Sound Quality,0.4,0.4,Positive,Satisfied
3861,Sowmya,5.0 out of 5 stars,Best Buy,1.0,0.3,Positive,Satisfied
3862,AASHIRWAD GUPTA,4.0 out of 5 stars,Good,0.7,0.6000000000000001,Positive,Satisfied
3863,Abinash Nayak,5.0 out of 5 stars,Best Speaker under 4.5K,1.0,0.3,Positive,Satisfied
3864,Nishant Thorat,5.0 out of 5 stars,Nice product,0.6,1.0,Positive,Satisfied
3865,Joshua jb,4.0 out of 5 stars,Not charging,0.0,0.0,Nutral,Satisfied
3866,Mahesh K.,2.0 out of 5 stars,No inbuilt speakers for phone calls,0.0,0.0,Nutral,Not_Satisfied
3867,Eshan,5.0 out of 5 stars,More than one can expect,0.5,0.5,Positive,Satisfied
3868,ganesh,5.0 out of 5 stars,fantastic  product  by jbl..........,0.4,0.9,Positive,Satisfied
3869,Dr. Ngashepam Shuradhaja Singh,4.0 out of 5 stars,Good product,0.7,0.6000000000000001,Positive,Satisfied
